food_id,food_name,food_type,meal_id,serving_weight,serving_weight_unit,serving_volume,serving_volume_unit,serving_qty,serving_qty_unit,serving_summary,nutrition_calories_kj,nutrition_fat_g_total,nutrition_fat_g_trans,nutrition_fat_g_sat,nutrition_fat_g_other,nutrition_carb_g_total,nutrition_carb_g_not_fibre,nutrition_carb_g_sugar,nutrition_carb_g_fibre,nutrition_carb_g_other,nutrition_protein_g,nutrition_potassium,nutrition_sodium
food_id INTEGER,food_name TEXT,food_type TEXT,meal_id INTEGER,serving_weight INTEGER,serving_weight_unit TEXT,serving_volume REAL,serving_volume_unit TEXT,serving_qty INTEGER,serving_qty_unit TEXT,serving_summary TEXT,nutrition_calories_kj INTEGER,nutrition_fat_g_total REAL,nutrition_fat_g_trans REAL,nutrition_fat_g_sat REAL,nutrition_fat_g_other REAL,nutrition_carb_g_total REAL,nutrition_carb_g_not_fibre REAL,nutrition_carb_g_sugar REAL,nutrition_carb_g_fibre REAL,nutrition_carb_g_other REAL,nutrition_protein_g REAL,nutrition_potassium INTEGER,nutrition_sodium INTEGER
1,"spinach","leafy green",-1,85,"g",3,"cup",-1,-1,"85g/3cup/",20,-1,-1,-1,-1,2.7,0.7,-1,2,1.7,-1,470,65
2,"granny smiths","fruit",-1,-1,-1,-1,-1,1,"fruit","1fruit",63,0.2,-1,-1,-1,14.8,11.7,10.5,3.1,1.2,-1,130,1
3,"chicken breast","poultry",-1,0.7,"g",0,-1,0,-1,"0.7g/0/0",280,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,440,-1
6,"tomatoes","salad",-1,90,"g",0,-1,1,"fruit","90g/0/1fruit",15,-1,-1,-1,-1,4,3,2,1,1,1,210,-1
7,"brocolli","leafy green",-1,148,"g",-1.00,-1,-1,-1,"148g/",50,0,-1,-1,-1,9.6,5.8,2.5,3.8,3.3,4.2,-1,49
8,"raisins","dried fruit",-1,0,-1,0.25,"cup",-1,-1,"0/0.25cup/",120,-1,-1,-1,-1,30,29,24,1,5,1,300,-1
9,"medjool dates","dried fruit",-1,0,-1,-1.00,-1,-1,-1,"0/",66,-1,-1,-1,-1,20,18,16,2,2,-1,-1,-1
10,"multi grain boule","bread",-1,57,"g",-1.00,-1.00,-1.00,-1.00,"57g/",150,1,-1,-1,-1,30,26,5,4,21,-1,-1,350
11,"hummus","spread",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,80,6,-1,-1,-1,5,4,0,1,4,2,-1,130
12,"rye bread","bread",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,"figs","dried fruit",-1,4,"g",-1.00,-1.00,-1.00,-1.00,"4g/",110,0,-1,-1,-1,80,21,20,59,1,1,240,0
14,"frozen peas","frozen veg",-1,89,"g",-1,-1,-1,-1,"89g/",70,0,-1,-1,-1,12,8,4,4,4,5,-1,-1
15,"frozen sweetcorn","frozen veg",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,"wholewheat sliced","bread",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,120,1,-1,0.5,1.5,20,17,3,3,14,4,-1,150
17,"grape jelly","spread",-1,20,"g",-1,-1,-1,-1,"20g/",50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,"muesli","muesli",-1,41,"g",-1.00,-1.00,-1.00,-1.00,"41g/",160,6,0,0.5,5.5,25,22,3,3,19,7,-1,0
19,"greek yoghurt","dairy",-1,227,"g",-1,-1,-1,-1,"227g/",130,0,0,0,0,7,8,9,-1,-1,23,-1,85
20,"multi grain bagel","bread",-1,122,"g",-1,-1,-1,-1,"122g/",340,6,-1,-1,-1,70,65,5,5,60,12,-1,7
21,"egg scrambled","dairy",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,197,14,-1,4,11,-1,-1,-1,-1,-1,13.5,-1,150
22,"spread","spread",-1,14,"g",-1,-1,-1,-1,"14g/",100,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100
23,"apricot bar","bar",-1,51,"g",-1,-1,1,"bar","51g/1bar",220,6,-1,1,6,36,29,24,7,5,5,-1,-1
24,"banana bar","bar",-1,34,"g",-1,-1,1,"bar","34g/1bar",190,8,-1,2.5,6.5,25,20,12,5,8,3,-1,-1
25,"boiled egg","poultry",-1,50,"g",-1,-1,1,"egg","50g/1egg",78,4,-1,1.6,3.4,-1.4,-0.4,0.6,-1,-1,6,63,62
26,"tomato ketchup","condiment",-1,17,"g",-1,-1,-1,-1,"17g/",19,0,-1,-1,-1,4.5,4.4,3.7,0.1,0.7,0.2,-1,-1
27,"carrots","vegetable",-1,61,"g",-1,-1,-1,-1,"61g/",25,0.1,-1,-1,-1,6,4.3,2.9,1.7,1.4,0.6,195,42
28,"power bar","energy bar",-1,65,"g",-1,-1,1,"bar","65g/1bar",240,3,-1,1,3,40,39,26,1,13,9,105,200
29,"dunkin donuts","beverage",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,"coffee machine","beverage",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,"banana bread","cake",-1,30,"g",-1,-1,1,"slice","30g/1slice",100,3.1,-1,0.7,2.3,15.3,16.3,-1,0.3,16,1.3,40,181
32,"deli coffee","beverage",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,"Milk 1%","beverage",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,"almonds","nut",-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",170,16,-1,1,15,5,2,1,3,1,-1,220,-1
