Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force per revolution [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [°]	Total left angle to force peak [°]	Right angle to force peak [°]	Total right angle to force peak [°]
1	0:00:00.66	0:00:00.66	1	91	91	91	2	44.42584	44.42584	8.14	8.14	139	139	139	203	203	308	203	34	34	01:21.03	01:21.03	328	328	328	2	2	247	0.2	216	0.2	45	45	55	55	00:00.19	00:00.19	00:00.19	00:00.19	107	107	101	101
2	0:00:00.65	0:00:01.31	2	92	92	92	2	44.55893	44.49188	8.05	16.19	141	141	140	201	203	289	202	34	34	01:20.79	01:20.91	330	330	329	2	2	245	0.5	215	0.4	50	47	50	53	00:00.18	00:00.18	00:00.19	00:00.19	101	104	104	102
3	0:00:00.66	0:00:01.97	3	91	92	91	2	42.93764	43.97117	7.87	24.06	142	142	141	185	203	283	196	31	33	01:23.84	01:21.85	299	330	319	2	2	229	0.7	197	0.6	48	48	52	52	00:00.18	00:00.18	00:00.18	00:00.18	98	102	98	101
4	0:00:00.67	0:00:02.64	4	90	92	91	2	42.79949	43.67381	7.97	32.03	138	142	140	186	203	301	194	32	33	01:24.11	01:22.40	296	330	313	2	2	230	1.0	199	0.8	47	48	53	52	00:00.18	00:00.18	00:00.19	00:00.18	98	101	101	101
5	0:00:00.66	0:00:03.30	5	91	92	91	2	43.42367	43.62378	7.96	39.99	142	142	140	190	203	318	193	32	33	01:22.90	01:22.50	308	330	312	2	2	234	1.2	203	1.0	51	48	49	52	00:00.17	00:00.18	00:00.20	00:00.19	96	100	106	102
6	0:00:00.65	0:00:03.95	6	92	92	91	2	44.30047	43.73514	8.00	47.99	143	143	141	198	203	305	194	34	33	01:21.26	01:22.29	325	330	314	2	2	241	1.4	211	1.2	50	48	50	52	00:00.17	00:00.17	00:00.19	00:00.19	96	99	104	102
7	0:00:00.66	0:00:04.61	7	91	92	91	2	42.91202	43.61729	7.87	55.85	141	143	141	184	203	290	192	31	33	01:23.89	01:22.51	298	330	312	2	2	228	1.7	197	1.4	51	49	49	51	00:00.18	00:00.17	00:00.18	00:00.18	98	99	98	102
8	0:00:00.66	0:00:05.27	8	91	92	91	2	43.33070	43.58140	7.94	63.80	141	143	141	189	203	295	192	32	33	01:23.08	01:22.58	306	330	311	2	2	233	1.9	202	1.6	52	49	48	51	00:00.17	00:00.17	00:00.19	00:00.18	93	98	104	102
9	0:00:00.66	0:00:05.93	9	91	92	91	2	43.33644	43.55414	7.95	71.74	143	143	141	189	203	298	192	32	33	01:23.07	01:22.64	307	330	311	2	2	233	2.1	202	1.8	48	49	52	51	00:00.19	00:00.17	00:00.20	00:00.19	107	99	106	102
10	0:00:00.66	0:00:06.59	10	91	92	91	2	42.78794	43.47740	7.84	79.59	142	143	141	183	203	290	191	31	32	01:24.13	01:22.78	296	330	309	2	2	227	2.3	195	2.0	49	49	51	51	00:00.17	00:00.17	00:00.19	00:00.19	93	99	104	102
11	0:00:00.67	0:00:07.26	11	90	92	91	2	42.66920	43.40281	7.94	87.53	142	143	141	184	203	298	190	31	32	01:24.36	01:22.92	294	330	308	2	2	229	2.6	197	2.2	50	49	50	51	00:00.18	00:00.17	00:00.18	00:00.18	98	99	95	102
12	0:00:00.66	0:00:07.92	12	91	92	91	2	43.95108	43.44850	8.06	95.59	142	143	141	197	203	312	191	33	32	01:21.90	01:22.84	318	330	309	2	2	241	2.8	210	2.4	51	49	49	51	00:00.19	00:00.17	00:00.19	00:00.18	104	99	104	102
13	0:00:00.66	0:00:08.58	13	91	92	91	2	43.25305	43.43347	7.93	103.52	141	143	141	188	203	288	191	32	32	01:23.23	01:22.87	305	330	309	2	2	232	3.0	201	2.6	50	49	50	51	00:00.17	00:00.17	00:00.17	00:00.18	93	98	93	101
14	0:00:00.66	0:00:09.24	14	91	92	91	2	42.90020	43.39538	7.87	111.38	143	143	141	184	203	292	190	31	32	01:23.91	01:22.94	298	330	308	2	2	228	3.3	197	2.8	49	49	51	51	00:00.17	00:00.17	00:00.19	00:00.18	93	98	104	101
15	0:00:00.66	0:00:09.90	15	91	92	91	2	43.53716	43.40483	7.98	119.36	143	143	142	192	203	309	190	33	32	01:22.68	01:22.92	310	330	308	2	2	236	3.5	205	3.0	51	49	49	51	00:00.18	00:00.17	00:00.19	00:00.18	98	98	104	102
16	0:00:00.66	0:00:10.56	16	91	92	91	2	43.48944	43.41012	7.97	127.34	143	143	142	191	203	307	190	33	32	01:22.77	01:22.91	309	330	308	2	2	235	3.7	204	3.3	50	49	50	51	00:00.19	00:00.17	00:00.20	00:00.18	104	98	109	102
17	0:00:00.66	0:00:11.22	17	91	92	91	2	43.73698	43.42934	8.02	135.35	144	144	142	194	203	302	191	33	32	01:22.31	01:22.88	314	330	308	2	2	238	4.0	207	3.5	50	49	50	51	00:00.18	00:00.17	00:00.19	00:00.18	98	98	104	102
18	0:00:00.65	0:00:11.87	18	92	92	91	2	43.75318	43.44708	7.90	143.25	144	144	142	191	203	309	191	33	32	01:22.27	01:22.84	315	330	309	2	2	235	4.2	204	3.7	50	49	50	51	00:00.17	00:00.17	00:00.19	00:00.18	96	98	104	102
19	0:00:00.65	0:00:12.52	19	92	92	91	2	43.78620	43.46468	7.91	151.16	149	149	142	192	203	301	191	33	32	01:22.21	01:22.81	315	330	309	2	2	235	4.5	205	3.9	50	49	50	51	00:00.18	00:00.17	00:00.19	00:00.18	101	98	104	102
20	0:00:00.65	0:00:13.17	20	92	92	91	2	43.37874	43.46044	7.83	158.99	143	149	142	187	203	286	190	32	32	01:22.98	01:22.82	307	330	309	2	2	230	4.7	200	4.1	50	50	50	50	00:00.17	00:00.17	00:00.19	00:00.18	96	98	104	102
21	0:00:00.66	0:00:13.83	21	91	92	91	2	43.02350	43.43959	7.89	166.88	145	149	142	186	203	290	190	32	32	01:23.67	01:22.86	301	330	309	2	2	230	4.9	198	4.3	51	50	49	50	00:00.17	00:00.17	00:00.18	00:00.18	93	98	98	102
22	0:00:00.65	0:00:14.48	22	92	92	91	2	44.07004	43.46789	7.96	174.84	148	149	143	195	203	299	190	33	32	01:21.68	01:22.80	321	330	309	2	2	239	5.2	209	4.5	49	50	51	50	00:00.18	00:00.17	00:00.18	00:00.18	101	98	98	102
23	0:00:00.66	0:00:15.14	23	91	92	91	2	43.31871	43.46139	7.94	182.78	144	149	143	189	203	294	190	32	32	01:23.10	01:22.82	306	330	309	2	2	233	5.4	202	4.7	49	50	51	50	00:00.19	00:00.17	00:00.17	00:00.18	104	98	93	102
24	0:00:00.65	0:00:15.79	24	92	92	91	2	43.49861	43.46292	7.85	190.63	146	149	143	188	203	301	190	32	32	01:22.76	01:22.81	310	330	309	2	2	232	5.6	201	4.9	50	50	50	50	00:00.18	00:00.17	00:00.18	00:00.18	101	99	98	101
25	0:00:00.66	0:00:16.45	25	91	92	91	2	43.40467	43.46058	7.96	198.59	146	149	143	190	203	297	190	32	32	01:22.94	01:22.82	308	330	309	2	2	234	5.9	203	5.1	49	50	51	50	00:00.18	00:00.17	00:00.20	00:00.18	101	99	106	102
26	0:00:00.65	0:00:17.10	26	92	92	91	2	43.83240	43.47472	7.91	206.50	145	149	143	192	203	305	190	33	32	01:22.13	01:22.79	316	330	309	2	2	236	6.1	205	5.3	50	50	50	50	00:00.18	00:00.17	00:00.17	00:00.18	101	99	93	101
27	0:00:00.65	0:00:17.75	27	92	92	91	2	43.56472	43.47801	7.87	214.37	149	149	143	189	203	294	190	32	32	01:22.63	01:22.79	311	330	309	2	2	232	6.3	202	5.5	50	50	50	50	00:00.19	00:00.17	00:00.18	00:00.18	107	99	98	101
28	0:00:00.65	0:00:18.40	28	92	92	91	2	44.42728	43.51155	8.02	222.39	148	149	143	200	203	306	191	34	32	01:21.03	01:22.72	328	330	310	2	2	243	6.6	213	5.7	51	50	49	50	00:00.20	00:00.17	00:00.19	00:00.18	113	99	104	101
29	0:00:00.64	0:00:19.04	29	94	94	91	2	44.12809	43.53227	7.84	230.24	147	149	144	193	203	284	191	33	32	01:21.58	01:22.68	322	330	310	2	2	236	6.8	206	5.9	50	50	50	50	00:00.17	00:00.17	00:00.17	00:00.18	96	99	96	101
